"Title","UK Job Vacancies (thousands) - Construction"
"CDID","JP9L"
"Source dataset ID","LMS"
"PreUnit",""
"Unit",""
"Release date","17-07-2025"
"Next release","12 August 2025"
"Important notes",
"2002","26"
"2003","28"
"2004","26"
"2005","24"
"2006","24"
"2007","26"
"2008","25"
"2009","12"
"2010","10"
"2011","11"
"2012","13"
"2013","14"
"2014","21"
"2015","25"
"2016","23"
"2017","28"
"2018","25"
"2019","26"
"2020","21"
"2021","35"
"2022","46"
"2023","38"
"2024","36"
"2001 Q2","31"
"2001 Q3","31"
"2001 Q4","25"
"2002 Q1","26"
"2002 Q2","28"
"2002 Q3","24"
"2002 Q4","26"
"2003 Q1","26"
"2003 Q2","28"
"2003 Q3","29"
"2003 Q4","29"
"2004 Q1","27"
"2004 Q2","24"
"2004 Q3","27"
"2004 Q4","25"
"2005 Q1","26"
"2005 Q2","26"
"2005 Q3","22"
"2005 Q4","25"
"2006 Q1","23"
"2006 Q2","22"
"2006 Q3","24"
"2006 Q4","24"
"2007 Q1","25"
"2007 Q2","23"
"2007 Q3","30"
"2007 Q4","29"
"2008 Q1","28"
"2008 Q2","27"
"2008 Q3","25"
"2008 Q4","16"
"2009 Q1","14"
"2009 Q2","12"
"2009 Q3","11"
"2009 Q4","9"
"2010 Q1","9"
"2010 Q2","10"
"2010 Q3","10"
"2010 Q4","13"
"2011 Q1","13"
"2011 Q2","11"
"2011 Q3","11"
"2011 Q4","9"
"2012 Q1","12"
"2012 Q2","14"
"2012 Q3","14"
"2012 Q4","13"
"2013 Q1","12"
"2013 Q2","15"
"2013 Q3","14"
"2013 Q4","16"
"2014 Q1","20"
"2014 Q2","19"
"2014 Q3","23"
"2014 Q4","22"
"2015 Q1","28"
"2015 Q2","26"
"2015 Q3","24"
"2015 Q4","22"
"2016 Q1","21"
"2016 Q2","22"
"2016 Q3","21"
"2016 Q4","28"
"2017 Q1","28"
"2017 Q2","27"
"2017 Q3","30"
"2017 Q4","26"
"2018 Q1","22"
"2018 Q2","26"
"2018 Q3","26"
"2018 Q4","27"
"2019 Q1","28"
"2019 Q2","26"
"2019 Q3","25"
"2019 Q4","26"
"2020 Q1","27"
"2020 Q2","7"
"2020 Q3","21"
"2020 Q4","28"
"2021 Q1","30"
"2021 Q2","30"
"2021 Q3","43"
"2021 Q4","40"
"2022 Q1","46"
"2022 Q2","49"
"2022 Q3","46"
"2022 Q4","42"
"2023 Q1","40"
"2023 Q2","38"
"2023 Q3","33"
"2023 Q4","37"
"2024 Q1","37"
"2024 Q2","36"
"2024 Q3","39"
"2024 Q4","35"
"2025 Q1","43"
"2025 Q2","29"
"2001 MAY","31"
"2001 JUN","30"
"2001 JUL","29"
"2001 AUG","31"
"2001 SEP","29"
"2001 OCT","28"
"2001 NOV","25"
"2001 DEC","22"
"2002 JAN","25"
"2002 FEB","26"
